,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date,Ave DNI Jan,Ave GHI Jan,Ave Lat Tilt Jan,Ave DNI Aug,Ave GHI Aug,Ave Lat Tilt Aug
0,Puerto Peñasco,31.32,-113.53,31.11,78.0,27.0,7.15,MX,1596307463.0,,,,,,
1,Cockburn Town,21.46,-71.14,29.0,74.0,75.0,8.7,TC,1596307463.0,,,,,,
2,San Felipe,10.34,-68.74,31.1,52.0,70.0,4.54,VE,1596307463.0,,,,,,
3,Princeton,25.54,-80.41,32.0,66.0,20.0,10.8,US,1596307439.0,5.18,3.81,5.22,4.26,5.51,5.4
4,Deloraine,-41.53,146.67,10.0,100.0,40.0,4.6,AU,1596307463.0,,,,,,
5,Port Hardy,50.7,-127.42,19.0,68.0,75.0,4.1,CA,1596307324.0,,,,,,
6,Thetford Mines,46.09,-71.3,28.33,46.0,32.0,1.79,CA,1596307464.0,,,,,,
7,Lompoc,34.64,-120.46,20.0,77.0,0.0,5.7,US,1596307464.0,4.83,2.99,4.9,6.52,6.7,6.81
8,Ridgecrest,35.62,-117.67,36.11,11.0,1.0,1.5,US,1596307464.0,6.7,3.3,5.88,9.46,7.45,7.51
9,,,,,,,,,,,,,,,
10,Tuckahoe,37.59,-77.56,32.22,62.0,75.0,1.5,US,1596307464.0,3.93,2.37,4.08,4.51,5.52,5.58
11,Farmington,36.73,-108.22,31.67,20.0,1.0,4.1,US,1596307465.0,5.98,2.92,5.31,7.76,6.81,6.92
12,George Town,5.41,100.34,27.0,88.0,20.0,1.21,MY,1596307465.0,,,,,,
13,Elliot Lake,46.38,-82.63,27.0,47.0,1.0,3.1,CA,1596307465.0,,,,,,
14,Chambersburg,39.94,-77.66,28.33,62.0,100.0,0.45,US,1596307311.0,2.85,1.9,3.27,4.15,5.25,5.33
15,Virginia Beach,36.85,-75.98,32.22,74.0,75.0,4.1,US,1596307444.0,3.63,2.37,3.93,4.44,5.5,5.57
16,Creel,27.75,-107.63,25.12,36.0,0.0,5.62,MX,1596307465.0,,,,,,
17,Matamoros,25.53,-103.25,29.44,51.0,75.0,3.1,MX,1596307466.0,,,,,,
18,Grants Pass,42.44,-123.33,26.0,36.0,1.0,1.5,US,1596307466.0,2.11,1.57,2.68,8.28,6.81,7.18
19,Lewistown,40.6,-77.57,30.0,48.0,1.0,2.18,US,1596307466.0,2.9,1.89,3.32,4.16,5.19,5.27
20,Traverse City,44.76,-85.62,30.0,44.0,40.0,4.1,US,1596307410.0,1.88,1.3,2.35,5.0,5.28,5.51
21,Dixon,38.45,-121.82,27.0,50.0,1.0,2.6,US,1596307466.0,2.48,1.99,3.18,8.15,7.14,7.38
22,Miles City,46.41,-105.84,28.0,39.0,1.0,1.5,US,1596307466.0,2.46,1.32,2.73,7.09,6.11,6.59
23,Craig,40.52,-107.55,31.0,16.0,1.0,3.6,US,1596307467.0,2.78,1.84,3.16,7.14,6.3,6.47
24,Ocala,29.19,-82.14,35.0,46.0,1.0,2.6,US,1596307272.0,4.76,3.36,4.87,4.13,5.38,5.32
25,Venice,27.1,-82.45,34.0,46.0,20.0,5.7,US,1596307191.0,5.56,3.82,5.4,4.97,5.89,5.82
26,Payson,40.04,-111.73,36.11,21.0,20.0,1.5,US,1596307467.0,2.97,1.87,3.24,7.58,6.54,6.7
27,Sunrise,26.16,-80.29,33.33,59.0,40.0,6.2,US,1596307295.0,4.97,3.69,5.08,4.07,5.42,5.31
28,Charleston,32.78,-79.93,36.0,66.0,1.0,6.2,US,1596307244.0,4.31,2.87,4.45,4.37,5.56,5.55
29,Cañon City,38.44,-105.24,30.0,25.0,1.0,3.6,US,1596307467.0,5.92,2.82,5.34,6.44,6.02,6.11
30,Ada,43.42,-116.13,29.44,34.0,1.0,3.6,US,1596307468.0,2.92,1.62,3.12,8.85,6.9,7.29
31,Half Moon Bay,37.46,-122.43,22.78,72.0,5.0,3.1,US,1596307468.0,3.12,2.27,3.7,3.63,5.16,5.14
32,Pahrump,36.21,-115.98,38.33,5.0,0.0,2.68,US,1596307468.0,6.35,3.17,5.68,8.86,7.23,7.32
33,La Providencia,28.72,-111.58,37.22,43.0,45.0,5.36,MX,1596307468.0,,,,,,
34,Casper,42.87,-106.31,28.33,30.0,1.0,1.83,US,1596307468.0,4.02,1.96,3.99,7.31,6.37,6.66
35,Normandin,48.83,-72.53,26.0,69.0,20.0,2.1,CA,1596307468.0,,,,,,
36,Ucluelet,48.93,-125.55,17.78,93.0,75.0,4.1,CA,1596307266.0,,,,,,
37,Sainte-Thècle,46.82,-72.5,28.0,48.0,1.0,4.6,CA,1596307384.0,,,,,,
38,Fortuna,40.6,-124.16,18.89,80.0,100.0,1.34,US,1596307192.0,2.68,1.78,3.08,5.51,5.89,6.11
39,Ashland,40.82,-82.27,24.44,94.0,90.0,2.6,US,1596307469.0,2.2,1.68,2.79,4.32,5.27,5.38
40,Minot,48.23,-101.3,24.0,47.0,40.0,3.6,US,1596307440.0,2.27,1.16,2.52,6.04,5.56,6.0
41,Merrill,45.18,-89.68,26.0,50.0,75.0,3.1,US,1596307469.0,2.46,1.46,2.86,4.83,5.23,5.47
42,Ascension,30.22,-90.9,32.78,55.0,100.0,2.1,US,1596307469.0,3.66,2.79,4.0,4.54,5.67,5.62
