,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date,Ave DNI,Ave GHI,Ave Lat Tilt
0,Red Bluff,40.18,-122.24,18.0,63.0,1.0,3.1,US,1596203738.0,6.06,6.06,6.06
1,Guerrero Negro,27.98,-114.06,21.93,74.0,3.0,1.94,MX,1596203821.0,,,
2,Yakima,46.47,-120.67,27.22,38.0,1.0,4.6,US,1596203614.0,5.15,5.15,5.15
3,La Sarre,48.8,-79.2,18.72,75.0,7.0,2.21,CA,1596203821.0,,,
4,Beijing,39.91,116.4,26.11,94.0,2.0,1.0,CN,1596203720.0,,,
5,Danville,36.59,-79.39,27.22,83.0,90.0,2.6,US,1596203646.0,4.44,4.44,4.44
6,Rock Springs,41.59,-109.2,16.0,41.0,1.0,2.1,US,1596203812.0,6.19,6.19,6.19
7,Bridge City,30.02,-93.85,29.0,83.0,40.0,3.1,US,1596203600.0,4.31,4.31,4.31
8,Suamico,44.63,-88.04,21.11,72.0,1.0,2.1,US,1596203822.0,4.02,4.02,4.02
9,Sterling,39.01,-77.43,22.78,100.0,90.0,2.1,US,1596203533.0,4.45,4.45,4.45
10,Hot Springs,34.5,-93.06,23.89,83.0,40.0,2.6,US,1596203822.0,4.31,4.31,4.31
11,Slidell,30.28,-89.78,28.33,78.0,75.0,3.1,US,1596203823.0,4.54,4.54,4.54
12,Huntingdon,52.33,-0.19,34.44,23.0,0.0,7.2,GB,1596203823.0,,,
13,Santa Catarina de Tepehuanes,25.35,-105.73,18.53,72.0,77.0,2.14,MX,1596203823.0,,,
14,Marshall,34.38,-86.33,27.78,78.0,90.0,4.1,US,1596203823.0,4.09,4.09,4.09
15,Middlebury (village),44.02,-73.17,23.89,64.0,1.0,1.08,US,1596203824.0,3.81,3.81,3.81
16,Lompoc,34.64,-120.46,13.33,100.0,90.0,2.1,US,1596203664.0,5.84,5.84,5.84
17,Province of Mantua,45.17,10.78,36.11,51.0,0.0,2.68,IT,1596203824.0,,,
18,Rodeo,38.03,-122.27,13.89,87.0,1.0,2.1,US,1596203824.0,5.19,5.19,5.19
19,Sinaloa,25.0,-107.5,25.0,95.0,3.0,0.89,MX,1596203824.0,,,
20,Sheridan,44.83,-106.92,18.33,72.0,1.0,2.6,US,1596203824.0,4.96,4.96,4.96
21,Channahon,41.43,-88.23,25.0,65.0,1.0,2.6,US,1596203825.0,3.76,3.76,3.76
22,Petersburg,37.23,-77.4,26.11,83.0,90.0,3.6,US,1596203825.0,4.35,4.35,4.35
23,Boone,39.03,-92.33,19.44,97.0,100.0,0.45,US,1596203825.0,4.5,4.5,4.5
24,Elko,41.0,-115.5,17.22,29.0,0.0,0.62,US,1596203825.0,6.41,6.41,6.41
25,Elk City,35.41,-99.4,20.0,72.0,1.0,6.7,US,1596203825.0,5.77,5.77,5.77
26,Marathon,44.9,-89.77,18.89,77.0,20.0,1.5,US,1596203826.0,3.85,3.85,3.85
27,Elizabeth City,36.29,-76.25,28.0,88.0,90.0,4.1,US,1596203826.0,4.91,4.91,4.91
28,Waterloo,43.47,-80.52,23.33,77.0,40.0,2.6,CA,1596203756.0,,,
29,Ukiah,39.15,-123.21,12.78,62.0,1.0,0.55,US,1596203826.0,5.97,5.97,5.97
30,Blythe,33.61,-114.6,30.0,26.0,0.0,2.13,US,1596203826.0,7.73,7.73,7.73
31,Ures,29.43,-110.4,28.89,70.0,0.0,1.34,MX,1596203827.0,,,
32,Terrace Bay,48.78,-87.1,18.0,82.0,5.0,1.53,CA,1596203827.0,,,
33,Fort Morgan,40.25,-103.8,15.0,87.0,1.0,1.5,US,1596203827.0,5.91,5.91,5.91
34,Guangzhou,23.12,113.25,28.89,69.0,40.0,4.0,CN,1596203800.0,,,
35,Lewistown,40.6,-77.57,24.44,83.0,20.0,2.6,US,1596203827.0,3.71,3.71,3.71
36,Yaqui,27.37,-110.17,26.0,83.0,75.0,2.1,MX,1596203827.0,,,
37,Waverly,42.74,-84.62,21.11,68.0,1.0,3.1,US,1596203828.0,3.6,3.6,3.6
38,Norfolk,42.17,-71.25,25.56,69.0,1.0,1.25,US,1596203644.0,3.8,3.8,3.8
39,Dixon,38.45,-121.82,14.0,87.0,1.0,1.54,US,1596203828.0,5.78,5.78,5.78
40,Lenoir,35.23,-77.65,28.33,78.0,75.0,4.1,US,1596203651.0,4.39,4.39,4.39
41,,,,,,,,,,,,
42,Traverse City,44.76,-85.62,22.22,77.0,20.0,2.5,US,1596203579.0,3.76,3.76,3.76
43,Frankfort,-27.27,28.48,20.75,19.0,0.0,4.5,ZA,1596203829.0,,,
44,Healdsburg,38.61,-122.87,13.33,100.0,90.0,1.04,US,1596203829.0,5.56,5.56,5.56
45,Half Moon Bay,37.46,-122.43,14.44,93.0,90.0,1.55,US,1596203829.0,3.99,3.99,3.99
46,Fort Collins,40.59,-105.08,21.11,100.0,1.0,0.62,US,1596203829.0,5.36,5.36,5.36
47,Havelock,34.88,-76.9,30.56,20.0,20.0,5.7,US,1596203830.0,4.46,4.46,4.46
48,Rapid Valley,44.06,-103.15,23.89,68.0,1.0,1.5,US,1596203830.0,5.32,5.32,5.32
49,Dodge City,37.75,-100.02,18.89,93.0,1.0,2.1,US,1596203830.0,5.85,5.85,5.85
50,Lake Shasta,40.68,-122.37,20.56,51.0,0.0,1.7,US,1596203830.0,6.01,6.01,6.01
51,Ferme-Neuve,46.7,-75.45,20.98,66.0,12.0,2.51,CA,1596203830.0,,,
52,Baker City,44.77,-117.83,27.22,76.0,1.0,0.37,US,1596203830.0,5.35,5.35,5.35
53,Berea,41.37,-81.85,25.56,69.0,40.0,4.6,US,1596203774.0,3.51,3.51,3.51
54,Watertown,42.37,-71.18,25.56,64.0,1.0,1.5,US,1596203639.0,3.69,3.69,3.69
55,King City,36.21,-121.13,20.56,47.0,0.0,1.79,US,1596203823.0,6.38,6.38,6.38
56,Abbeville,50.1,1.83,38.89,27.0,19.0,5.18,FR,1596203831.0,,,
57,Port Saint Lucie,27.29,-80.35,31.0,62.0,40.0,4.1,US,1596203801.0,4.77,4.77,4.77
58,Salisbury,51.07,-1.8,31.0,35.0,33.0,6.2,GB,1596203831.0,,,
59,Lamesa,32.74,-101.95,21.0,73.0,90.0,6.2,US,1596203832.0,6.46,6.46,6.46
60,Cornwall,45.02,-74.73,21.0,77.0,1.0,1.5,CA,1596203832.0,3.94,3.94,3.94
61,Endicott,42.1,-76.05,22.22,68.0,1.0,2.6,US,1596203832.0,3.67,3.67,3.67
62,Newton,42.34,-71.21,25.56,64.0,1.0,1.5,US,1596203832.0,3.83,3.83,3.83
63,Superior,46.72,-92.1,20.56,77.0,1.0,0.38,US,1596203832.0,3.95,3.95,3.95
64,Imuris,30.78,-110.87,26.47,69.0,0.0,1.84,MX,1596203832.0,,,
65,Freeport,40.66,-73.58,23.0,88.0,90.0,2.1,US,1596203832.0,3.97,3.97,3.97
66,Bagotville,-28.98,153.42,15.0,93.0,75.0,3.1,AU,1596203833.0,,,
67,Wawa,9.9,4.42,27.55,76.0,95.0,1.76,NG,1596203833.0,,,
68,Williamsburg,37.27,-76.71,28.0,88.0,1.0,3.84,US,1596203833.0,4.43,4.43,4.43
69,Virginia Beach,36.85,-75.98,29.44,78.0,75.0,5.1,US,1596203823.0,4.16,4.16,4.16
70,Belgrade,44.8,20.47,33.0,43.0,1.0,2.6,RS,1596203564.0,,,
71,Fortuna,40.6,-124.16,11.67,96.0,1.0,1.23,US,1596203833.0,4.16,4.16,4.16
72,Palestine,31.92,35.2,32.78,55.0,0.0,3.6,PS,1596203834.0,,,
73,Brownwood,31.71,-98.99,25.0,73.0,90.0,4.6,US,1596203834.0,5.48,5.48,5.48
74,Athens,37.98,23.72,39.0,20.0,0.0,5.1,GR,1596203587.0,,,
75,Tallahassee,30.44,-84.28,27.22,94.0,40.0,2.26,US,1596203564.0,4.94,4.94,4.94
76,Lewiston,44.1,-70.21,23.89,78.0,1.0,2.6,US,1596203835.0,4.04,4.04,4.04
77,Bemidji,47.47,-94.88,20.0,72.0,1.0,2.18,US,1596203835.0,4.02,4.02,4.02
78,Corning,42.14,-77.05,21.11,88.0,1.0,1.5,US,1596203548.0,3.6,3.6,3.6
79,High Rock,26.62,-78.28,30.0,79.0,20.0,3.6,BS,1596203835.0,,,
80,Maple Creek,49.92,-109.48,20.95,74.0,9.0,2.67,CA,1596203835.0,,,
81,Pascagoula,30.37,-88.56,29.0,83.0,75.0,2.6,US,1596203754.0,4.59,4.59,4.59
82,Laurel,39.1,-76.85,23.89,100.0,90.0,1.91,US,1596203709.0,4.11,4.11,4.11
83,Barrie,44.4,-79.67,22.78,73.0,1.0,1.84,CA,1596203836.0,,,
84,Vicksburg,32.35,-90.88,28.0,94.0,75.0,6.2,US,1596203836.0,4.57,4.57,4.57
85,Devils Lake,48.11,-98.87,22.0,73.0,1.0,5.7,US,1596203553.0,3.98,3.98,3.98
86,San Quintín,30.48,-115.95,21.18,76.0,0.0,1.27,MX,1596203836.0,,,
87,Jamestown,42.1,-79.24,22.78,77.0,1.0,1.5,US,1596203834.0,3.25,3.25,3.25
88,Morgan City,29.7,-91.21,28.0,94.0,1.0,2.1,US,1596203836.0,4.55,4.55,4.55
89,Maryville,35.76,-83.97,27.0,74.0,75.0,4.6,US,1596203761.0,4.17,4.17,4.17
90,Winslow,35.02,-110.7,16.0,29.0,1.0,1.5,US,1596203814.0,7.68,7.68,7.68
91,Guadalupe y Calvo,26.1,-106.97,15.24,88.0,16.0,1.83,MX,1596203837.0,,,
92,Estelle,29.85,-90.11,30.0,94.0,75.0,3.3,US,1596203837.0,4.41,4.41,4.41
93,Vernon,50.26,-119.27,20.56,82.0,1.0,1.5,CA,1596203837.0,,,
94,Scottsbluff,41.87,-103.67,18.0,82.0,1.0,3.1,US,1596203837.0,5.67,5.67,5.67
95,Kirkland Lake,48.14,-80.04,19.0,77.0,1.0,3.6,CA,1596203837.0,,,
96,Marsh Harbour,26.54,-77.06,28.94,68.0,0.0,7.03,BS,1596203838.0,,,
97,Seminole,28.71,-81.21,29.44,78.0,1.0,2.6,US,1596203746.0,4.76,4.76,4.76
98,Kincardine,56.07,-3.72,23.89,73.0,42.0,4.1,GB,1596203838.0,,,
99,Glendive,47.11,-104.71,19.0,72.0,1.0,3.84,US,1596203838.0,5.01,5.01,5.01
100,Niles,42.02,-87.8,25.0,73.0,75.0,4.6,US,1596203838.0,3.69,3.69,3.69
101,,,,,,,,,,,,
102,Streamwood,42.03,-88.18,23.33,78.0,90.0,2.6,US,1596203838.0,3.82,3.82,3.82
103,Kingman,35.19,-114.05,26.0,21.0,1.0,3.6,US,1596203561.0,7.99,7.99,7.99
104,Brookings,44.31,-96.8,20.0,88.0,75.0,1.1,US,1596203774.0,4.34,4.34,4.34
105,George Town,5.41,100.34,27.0,78.0,40.0,3.1,MY,1596203839.0,,,
106,Mountain Home,43.13,-115.69,20.0,40.0,1.0,3.6,US,1596203839.0,6.32,6.32,6.32
107,Truckee,39.33,-120.18,15.0,49.0,0.0,1.48,US,1596203620.0,7.01,7.01,7.01
108,Weyburn,49.67,-103.85,19.44,84.0,95.0,6.26,CA,1596203839.0,,,
109,Clearlake,38.96,-122.63,18.89,57.0,0.0,0.89,US,1596203839.0,6.03,6.03,6.03
110,Plainview,40.78,-73.47,22.22,97.0,100.0,3.35,US,1596203797.0,3.99,3.99,3.99
111,Sheboygan,43.73,-87.93,22.78,77.0,1.0,3.1,US,1596203828.0,3.81,3.81,3.81
112,Leesburg,39.12,-77.56,22.78,94.0,97.0,1.94,US,1596203718.0,4.32,4.32,4.32
113,Disraeli,45.9,-71.35,21.11,77.0,68.0,1.34,CA,1596203840.0,,,
114,Elmira,42.09,-76.81,22.22,88.0,1.0,1.5,US,1596203840.0,3.56,3.56,3.56
115,Bossier City,32.52,-93.73,26.67,78.0,75.0,4.6,US,1596203593.0,4.37,4.37,4.37
116,Great Bend,38.36,-98.76,20.0,93.0,1.0,3.6,US,1596203841.0,5.43,5.43,5.43
117,Cortez,37.35,-108.59,18.33,76.0,1.0,2.1,US,1596203841.0,7.11,7.11,7.11
118,East Wenatchee,47.42,-120.29,26.67,31.0,1.0,4.6,US,1596203841.0,4.92,4.92,4.92
119,Mandan,46.83,-100.89,21.11,77.0,1.0,3.6,US,1596203603.0,4.4,4.4,4.4
120,Bozeman,45.68,-111.04,20.0,76.0,1.0,1.34,US,1596203841.0,4.56,4.56,4.56
121,Grants,35.15,-107.85,19.0,59.0,1.0,4.1,US,1596203560.0,7.36,7.36,7.36
122,Bend,44.06,-121.32,20.56,52.0,1.0,5.1,US,1596203618.0,5.77,5.77,5.77
123,Cedar City,37.68,-113.06,16.0,31.0,1.0,3.1,US,1596203660.0,7.21,7.21,7.21
124,Gallup,35.53,-108.74,12.0,62.0,1.0,3.16,US,1596203842.0,7.47,7.47,7.47
125,Redwater,33.36,-94.25,22.0,94.0,90.0,2.1,US,1596203842.0,4.63,4.63,4.63
126,Arteaga,18.47,-102.42,19.84,86.0,84.0,0.96,MX,1596203842.0,,,
127,Thunder Bay,48.4,-89.32,17.78,82.0,5.0,2.6,CA,1596203708.0,,,
128,Las Vegas,36.17,-115.14,32.22,16.0,1.0,2.1,US,1596203115.0,7.62,7.62,7.62
129,Stillwater,36.12,-97.06,22.78,78.0,90.0,4.1,US,1596203843.0,5.12,5.12,5.12
130,Caborca,30.58,-111.1,28.89,69.0,0.0,0.89,MX,1596203843.0,,,
131,Whitefish,48.41,-114.34,18.0,72.0,1.0,1.5,US,1596203843.0,4.54,4.54,4.54
132,Isla Vista,34.41,-119.86,20.56,93.0,1.0,2.72,US,1596203843.0,5.98,5.98,5.98
133,Valdosta,30.83,-83.28,26.11,88.0,90.0,2.84,US,1596203559.0,4.63,4.63,4.63
134,Altus,34.64,-99.33,22.78,68.0,1.0,4.6,US,1596203843.0,5.67,5.67,5.67
135,Duluth,46.78,-92.11,19.0,72.0,1.0,0.17,US,1596203844.0,3.97,3.97,3.97
136,Marquette,46.53,-87.63,20.56,69.0,0.0,1.79,US,1596203844.0,3.92,3.92,3.92
137,Warrington,53.39,-2.58,32.22,38.0,0.0,6.2,GB,1596203844.0,,,
138,Orange Cove,36.62,-119.31,21.67,68.0,1.0,1.44,US,1596203844.0,6.09,6.09,6.09
139,Blairmore,49.6,-114.44,14.44,100.0,1.0,2.6,CA,1596203844.0,,,
140,Taber,49.82,-112.15,15.0,93.0,20.0,1.0,CA,1596203844.0,,,
141,Lucknow,26.85,80.92,30.0,84.0,75.0,1.0,IN,1596203845.0,,,
142,Carson City,39.16,-119.77,14.44,47.0,1.0,1.51,US,1596203845.0,7.21,7.21,7.21
143,Coos Bay,43.37,-124.22,13.0,100.0,90.0,1.28,US,1596203845.0,3.85,3.85,3.85
144,Guymon,36.68,-101.48,18.0,88.0,1.0,2.1,US,1596203845.0,6.21,6.21,6.21
145,Vermillion,42.78,-96.93,23.33,93.0,1.0,1.5,US,1596203845.0,4.4,4.4,4.4
146,Rocky Mount,35.94,-77.79,28.33,88.0,90.0,3.6,US,1596203845.0,4.54,4.54,4.54
147,Mendota,36.75,-120.38,18.89,68.0,1.0,2.6,US,1596203845.0,5.96,5.96,5.96
148,Moses Lake,47.13,-119.28,27.22,31.0,1.0,5.1,US,1596203845.0,5.35,5.35,5.35
149,Perry,37.25,-83.2,23.0,94.0,90.0,3.63,US,1596203582.0,3.76,3.76,3.76
150,Douglas,41.3,-96.17,20.56,72.0,75.0,4.4,US,1596203754.0,4.5,4.5,4.5
151,Fremont,37.55,-121.99,15.56,82.0,0.0,2.1,US,1596203740.0,5.62,5.62,5.62
152,Lapeer,43.05,-83.32,21.11,88.0,1.0,2.6,US,1596203846.0,3.43,3.43,3.43
153,Redmond,47.67,-122.12,18.33,96.0,47.0,1.87,US,1596203615.0,3.41,3.41,3.41
154,Delta,5.5,6.0,24.7,84.0,100.0,3.38,NG,1596203846.0,,,
155,Sherwood,34.82,-92.22,25.56,83.0,40.0,2.1,US,1596203847.0,4.36,4.36,4.36
156,Henderson,36.04,-114.98,32.22,30.0,1.0,1.66,US,1596203593.0,7.56,7.56,7.56
157,Onalaska,43.88,-91.24,21.11,73.0,1.0,1.81,US,1596203847.0,3.85,3.85,3.85
158,Tifton,31.45,-83.51,28.89,83.0,75.0,3.1,US,1596203847.0,4.68,4.68,4.68
159,Livingston,55.9,-3.52,23.89,73.0,23.0,4.1,GB,1596203586.0,,,
160,Grand Forks,47.93,-97.03,22.22,77.0,20.0,3.6,US,1596203848.0,3.98,3.98,3.98
161,Shiloh,38.56,-89.9,21.11,94.0,75.0,2.6,US,1596203848.0,4.32,4.32,4.32
162,Rosarito,32.33,-117.03,20.0,88.0,1.0,4.6,MX,1596203848.0,,,
163,Aberdeen,57.14,-2.1,20.0,72.0,2.0,7.7,GB,1596203848.0,,,
164,Jacksonville,30.33,-81.66,29.44,83.0,75.0,3.1,US,1596203724.0,4.64,4.64,4.64
165,San Angelo,31.46,-100.44,27.22,65.0,1.0,1.5,US,1596203599.0,5.69,5.69,5.69
166,Crossville,35.95,-85.03,25.0,88.0,90.0,2.1,US,1596203849.0,4.02,4.02,4.02
167,New Kensington,40.57,-79.76,25.56,76.0,19.0,0.45,US,1596203849.0,3.46,3.46,3.46
168,Senneterre,48.38,-77.23,18.0,77.0,20.0,3.6,CA,1596203849.0,,,
169,Cloquet,46.72,-92.46,19.0,77.0,1.0,0.93,US,1596203849.0,4.05,4.05,4.05
170,General Cepeda,25.38,-101.45,20.0,68.0,5.0,0.29,MX,1596203849.0,,,
