,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date,Ave DNI,Ave GHI,Ave Lat Tilt
0,Mariel,22.99,-82.75,27.0,100.0,20.0,4.1,CU,1596171276.0,,,
1,Assiniboia,49.63,-105.98,23.12,63.0,6.0,2.0,CA,1596171276.0,,,
2,Cuauhtémoc,28.42,-106.87,22.74,48.0,38.0,0.9,MX,1596170686.0,,,
3,Ukiah,39.15,-123.21,25.0,27.0,1.0,1.38,US,1596171276.0,5.97,5.97,5.97
4,Todos Santos,23.45,-110.22,24.44,84.0,50.0,1.69,MX,1596171276.0,,,
5,Bend,44.06,-121.32,28.0,32.0,1.0,3.1,US,1596171106.0,5.77,5.77,5.77
6,Pacific Grove,36.62,-121.92,14.44,93.0,15.0,2.07,US,1596171277.0,4.58,4.58,4.58
7,Port Huron,42.97,-82.42,19.0,82.0,1.0,4.6,US,1596171277.0,3.6,3.6,3.6
8,Lompoc,34.64,-120.46,16.0,82.0,90.0,2.1,US,1596171277.0,5.84,5.84,5.84
9,Lewistown,40.6,-77.57,23.0,94.0,75.0,1.07,US,1596170691.0,3.71,3.71,3.71
10,Matamoros,25.53,-103.25,23.89,65.0,94.0,6.43,MX,1596171277.0,,,
11,Cabo San Lucas,22.89,-109.91,26.11,69.0,22.0,0.89,MX,1596171033.0,,,
12,Miami Lakes,25.91,-80.31,30.0,78.0,1.0,4.1,US,1596171222.0,4.45,4.45,4.45
13,Fortuna,40.6,-124.16,14.44,1.0,1.0,0.89,US,1596171278.0,4.16,4.16,4.16
14,Ucluelet,48.93,-125.55,16.11,80.0,0.0,0.45,CA,1596171088.0,,,
15,Ville-Marie,47.33,-79.43,16.0,93.0,90.0,2.6,CA,1596170741.0,,,
16,Bahía Honda,22.9,-83.16,26.53,88.0,11.0,4.43,CU,1596171278.0,,,
17,Galveston,29.37,-94.97,29.0,79.0,40.0,5.7,US,1596171278.0,4.49,4.49,4.49
18,Forrest City,35.01,-90.79,28.0,78.0,20.0,4.1,US,1596171278.0,4.49,4.49,4.49
19,Sonoita,31.85,-112.83,32.37,46.0,0.0,2.72,MX,1596170704.0,,,
20,Guerrero Negro,27.98,-114.06,21.1,82.0,0.0,3.99,MX,1596171279.0,,,
21,Big Spring,32.25,-101.48,23.33,78.0,40.0,5.7,US,1596171279.0,6.16,6.16,6.16
22,Rapid Valley,44.06,-103.15,21.67,68.0,1.0,2.12,US,1596171279.0,5.32,5.32,5.32
23,Coalinga,36.14,-120.36,31.11,38.0,0.0,5.36,US,1596171183.0,6.58,6.58,6.58
24,Zachary,30.65,-91.16,28.0,78.0,1.0,6.2,US,1596170626.0,4.38,4.38,4.38
25,Port Hardy,50.7,-127.42,18.0,72.0,20.0,1.5,CA,1596171279.0,,,
26,Mankato,44.16,-94.0,19.0,88.0,1.0,1.28,US,1596171004.0,4.02,4.02,4.02
27,Spring Hill,28.48,-82.53,26.67,94.0,1.0,1.86,US,1596171170.0,4.87,4.87,4.87
28,Hilton Head,32.22,-80.75,26.67,83.0,1.0,3.6,US,1596170502.0,4.86,4.86,4.86
29,Pierre,44.37,-100.35,21.67,73.0,1.0,3.57,US,1596171280.0,4.85,4.85,4.85
30,Scottsbluff,41.87,-103.67,19.0,82.0,1.0,2.33,US,1596171280.0,5.67,5.67,5.67
31,Alamogordo,32.9,-105.96,32.0,19.0,1.0,3.6,US,1596171280.0,7.32,7.32,7.32
32,West Plains,36.73,-91.85,25.0,78.0,1.0,2.1,US,1596171281.0,4.45,4.45,4.45
33,Mulegé,26.88,-111.98,31.01,59.0,1.0,1.42,MX,1596171281.0,,,
34,Santa María del Oro,25.93,-105.37,21.09,68.0,25.0,2.31,MX,1596171281.0,,,
35,Lamar,33.67,-95.58,21.11,88.0,90.0,3.1,US,1596171281.0,4.75,4.75,4.75
36,Kerrville,30.05,-99.14,28.0,74.0,1.0,5.1,US,1596171166.0,4.92,4.92,4.92
37,Lincoln,40.8,-96.67,21.11,77.0,1.0,4.6,US,1596171281.0,4.69,4.69,4.69
38,Moses Lake,47.13,-119.28,34.0,18.0,1.0,5.1,US,1596170729.0,5.35,5.35,5.35
39,Juchipila,21.42,-103.12,21.23,76.0,100.0,2.38,MX,1596171282.0,,,
40,Duncan,34.5,-97.96,23.33,94.0,1.0,2.1,US,1596170541.0,5.33,5.33,5.33
41,Santa Fe,-31.63,-60.7,10.0,62.0,0.0,0.89,AR,1596171282.0,,,
42,Rapid City,44.08,-103.23,21.67,68.0,1.0,1.5,US,1596171010.0,5.37,5.37,5.37
43,Orangeburg,33.49,-80.86,25.56,94.0,1.0,3.1,US,1596171282.0,4.63,4.63,4.63
44,Green Valley,31.85,-110.99,38.0,14.0,1.0,3.1,US,1596171282.0,7.59,7.59,7.59
45,San Quintín,30.48,-115.95,20.23,81.0,0.0,3.44,MX,1596171282.0,,,
46,Orange Cove,36.62,-119.31,29.0,37.0,1.0,2.26,US,1596171283.0,6.09,6.09,6.09
47,Española,35.99,-106.08,23.89,38.0,1.0,4.6,US,1596170734.0,7.28,7.28,7.28
48,Washougal,45.58,-122.35,29.0,42.0,40.0,3.1,US,1596171283.0,3.16,3.16,3.16
49,Liberty,31.83,-81.5,25.0,83.0,1.0,3.1,US,1596171283.0,4.68,4.68,4.68
50,,,,,,,,,,,,
51,Abbeville,50.1,1.83,17.0,67.0,0.0,3.1,FR,1596171283.0,,,
52,Eldorado,-23.79,-54.28,15.52,87.0,0.0,4.22,BR,1596171283.0,,,
53,Progreso,21.28,-89.67,28.33,83.0,40.0,5.7,MX,1596171284.0,,,
54,Portland,45.52,-122.68,30.0,42.0,40.0,3.1,US,1596170694.0,3.35,3.35,3.35
55,Havelock,34.88,-76.9,28.33,83.0,75.0,3.6,US,1596171284.0,4.46,4.46,4.46
56,Monroe,43.15,-77.68,18.33,88.0,40.0,1.73,US,1596170689.0,3.82,3.82,3.82
57,Gravelbourg,49.88,-106.55,24.12,59.0,0.0,4.22,CA,1596171284.0,,,
58,La Grande,45.32,-118.09,30.0,30.0,1.0,2.6,US,1596171284.0,4.88,4.88,4.88
59,Panabá,21.28,-88.27,25.22,94.0,98.0,3.23,MX,1596170707.0,,,
60,Pahrump,36.21,-115.98,32.22,16.0,0.0,2.25,US,1596171259.0,7.94,7.94,7.94
61,Altar,30.7,-111.82,32.78,52.0,1.0,1.34,MX,1596171285.0,,,
62,Chambas,22.19,-78.91,29.0,79.0,20.0,6.2,CU,1596170751.0,,,
63,Pueblo,38.25,-104.61,20.56,88.0,90.0,2.1,US,1596171285.0,6.64,6.64,6.64
64,Nadadores,27.05,-101.6,28.88,60.0,100.0,1.31,MX,1596171285.0,,,
65,Province of Mantua,45.17,10.78,25.56,85.0,10.0,0.45,IT,1596171285.0,,,
66,Andrews,32.32,-102.55,30.0,42.0,75.0,10.3,US,1596171129.0,6.59,6.59,6.59
67,Marsh Harbour,26.54,-77.06,28.22,81.0,1.0,7.64,BS,1596171286.0,,,
68,Guerrero,17.67,-100.0,19.76,81.0,59.0,2.12,MX,1596171286.0,,,
69,Atikokan,48.76,-91.62,14.57,60.0,0.0,0.61,CA,1596171286.0,,,
70,Chippewa Falls,44.94,-91.39,18.33,77.0,1.0,1.5,US,1596171286.0,3.88,3.88,3.88
71,Cockburn Town,21.46,-71.14,25.09,92.0,100.0,23.48,TC,1596170998.0,,,
72,Kenora,49.82,-94.43,21.0,64.0,20.0,2.1,CA,1596171286.0,,,
73,La Tuque,47.43,-72.78,14.28,95.0,82.0,1.12,CA,1596171286.0,,,
74,Weyburn,49.67,-103.85,23.33,80.0,0.0,1.34,CA,1596170665.0,,,
75,Constitución,-35.33,-72.42,9.71,81.0,40.0,1.49,CL,1596171152.0,,,
76,Paris,48.85,2.35,22.0,37.0,0.0,2.6,FR,1596170640.0,,,
77,Elko,41.0,-115.5,27.22,4.0,0.0,2.24,US,1596171287.0,6.41,6.41,6.41
78,Glenwood Springs,39.55,-107.32,15.56,34.0,1.0,2.1,US,1596171169.0,5.94,5.94,5.94
79,Steamboat Springs,40.48,-106.83,19.0,39.0,1.0,4.1,US,1596171287.0,5.46,5.46,5.46
80,Bristol,41.83,-71.17,25.56,88.0,1.0,1.37,US,1596170694.0,3.85,3.85,3.85
81,,,,,,,,,,,,
82,Sheridan,44.83,-106.92,21.0,49.0,1.0,1.5,US,1596170700.0,4.96,4.96,4.96
83,,,,,,,,,,,,
84,West Bay,19.37,-81.42,30.0,74.0,4.0,4.47,KY,1596171171.0,,,
85,Lock Haven,41.14,-77.45,23.0,78.0,90.0,3.1,US,1596170698.0,3.56,3.56,3.56
86,Corinth,37.94,22.96,30.0,40.0,0.0,0.89,GR,1596171229.0,,,
87,Bolivar,37.61,-93.41,22.22,94.0,12.0,1.61,US,1596171002.0,4.42,4.42,4.42
88,Niagara Falls,43.1,-79.07,20.56,82.0,1.0,2.92,CA,1596171074.0,3.42,3.42,3.42
89,Jalpan,21.23,-99.48,21.7,83.0,99.0,0.4,MX,1596170718.0,,,
90,Bismarck,46.81,-100.78,24.0,60.0,1.0,1.16,US,1596171289.0,4.42,4.42,4.42
91,Miramar,25.99,-80.23,29.0,88.0,1.0,4.1,US,1596171005.0,4.51,4.51,4.51
92,Neosho,36.87,-94.37,22.22,93.0,16.0,3.13,US,1596171289.0,4.65,4.65,4.65
93,Saint-Michel-des-Saints,46.68,-73.92,16.67,9.0,61.0,1.55,CA,1596170704.0,,,
94,Thomaston,32.89,-84.33,25.0,83.0,1.0,2.6,US,1596171289.0,4.52,4.52,4.52
95,Bardstown,37.81,-85.47,23.33,94.0,40.0,1.68,US,1596171289.0,3.98,3.98,3.98
96,Winnemucca,40.97,-117.74,26.0,9.0,1.0,3.1,US,1596171125.0,6.56,6.56,6.56
97,Brandon,27.94,-82.29,28.33,100.0,1.0,2.04,US,1596171022.0,4.89,4.89,4.89
98,Senneterre,48.38,-77.23,17.0,88.0,1.0,2.1,CA,1596171290.0,,,
99,Weatherford,32.76,-97.8,25.56,87.0,46.0,0.89,US,1596171209.0,5.27,5.27,5.27
100,,,,,,,,,,,,
101,Glendive,47.11,-104.71,24.0,50.0,1.0,4.6,US,1596171290.0,5.01,5.01,5.01
102,Lapeer,43.05,-83.32,17.78,100.0,1.0,2.0,US,1596170612.0,3.43,3.43,3.43
103,Andros Town,24.7,-77.77,28.83,74.0,9.0,9.1,BS,1596171290.0,,,
104,Sydney,-33.87,151.21,16.67,58.0,20.0,5.7,AU,1596170698.0,,,
105,Freeport,40.66,-73.58,28.0,61.0,90.0,3.6,US,1596171287.0,3.97,3.97,3.97
106,Madison Heights,42.49,-83.11,21.0,82.0,1.0,2.1,US,1596171291.0,3.61,3.61,3.61
107,Alamosa,37.47,-105.87,17.0,59.0,1.0,8.2,US,1596171291.0,7.67,7.67,7.67
108,Tayoltita,24.08,-105.93,21.48,78.0,100.0,0.64,MX,1596171291.0,,,
109,Gillette,44.29,-105.5,21.0,49.0,1.0,3.6,US,1596171058.0,5.32,5.32,5.32
110,Morgan City,29.7,-91.21,28.0,94.0,1.0,2.6,US,1596171291.0,4.55,4.55,4.55
111,Terrace Bay,48.78,-87.1,14.49,82.0,1.0,1.66,CA,1596171292.0,,,
112,Seguin,29.57,-97.96,29.0,66.0,1.0,5.7,US,1596171041.0,4.62,4.62,4.62
113,Charter Township of Clinton,42.59,-82.92,19.44,100.0,1.0,2.1,US,1596171292.0,3.6,3.6,3.6
114,Corcoran,36.1,-119.56,32.0,40.0,20.0,4.1,US,1596171292.0,5.9,5.9,5.9
115,Sterling,39.01,-77.43,23.33,100.0,90.0,2.1,US,1596171292.0,4.45,4.45,4.45
116,Blythe,33.61,-114.6,38.33,13.0,0.0,2.73,US,1596170730.0,7.73,7.73,7.73
117,Denton,33.2,-97.13,23.33,88.0,40.0,9.3,US,1596171292.0,5.15,5.15,5.15
118,Steinbach am Taunus,50.17,8.57,20.56,48.0,0.0,4.1,DE,1596171293.0,,,
119,Cañon City,38.44,-105.24,16.67,92.0,19.0,1.88,US,1596171293.0,6.61,6.61,6.61
120,Half Moon Bay,37.46,-122.43,16.11,87.0,90.0,2.22,US,1596171293.0,3.99,3.99,3.99
121,Adolfo López Mateos,28.47,-107.3,19.96,50.0,8.0,2.73,MX,1596171293.0,,,
122,Valle de Banderas,20.8,-105.23,27.22,94.0,90.0,1.0,MX,1596171293.0,,,
123,Lakeway,30.36,-97.98,28.89,69.0,1.0,3.6,US,1596171293.0,4.82,4.82,4.82
124,Lemoore,36.3,-119.78,32.0,40.0,20.0,4.1,US,1596171294.0,6.03,6.03,6.03
125,Baker City,44.77,-117.83,23.0,49.0,1.0,1.5,US,1596171294.0,5.35,5.35,5.35
126,Matagami,49.75,-77.63,17.0,77.0,40.0,2.36,CA,1596171294.0,,,
127,Santa Isabel,-23.32,-46.22,14.0,87.0,90.0,2.6,BR,1596170709.0,,,
128,Imuris,30.78,-110.87,30.56,63.0,46.0,0.89,MX,1596171294.0,,,
129,Wilmington,34.23,-77.94,27.78,88.0,1.0,4.1,US,1596171294.0,4.51,4.51,4.51
130,Bluefield,37.27,-81.22,20.0,100.0,20.0,2.6,US,1596171276.0,4.36,4.36,4.36
131,Laramie,41.31,-105.59,14.0,71.0,1.0,3.6,US,1596171059.0,5.45,5.45,5.45
132,Myrtle Beach,33.69,-78.89,27.0,88.0,1.0,4.6,US,1596171295.0,4.56,4.56,4.56
133,Fernie,49.5,-115.07,27.0,24.0,20.0,3.1,CA,1596171295.0,,,
134,Lubbock,33.6,-101.83,27.0,54.0,20.0,4.1,US,1596171295.0,6.34,6.34,6.34
135,Waycross,31.21,-82.35,24.0,83.0,1.0,2.1,US,1596171295.0,4.63,4.63,4.63
136,Winchester,51.07,-1.32,17.78,67.0,0.0,2.6,GB,1596171295.0,,,
137,Portales,34.19,-103.33,25.56,50.0,1.0,7.7,US,1596171295.0,6.75,6.75,6.75
138,Ocean City,39.28,-74.57,24.44,91.0,100.0,1.34,US,1596171296.0,4.21,4.21,4.21
139,Randolph,35.7,-79.82,25.0,100.0,1.0,2.23,US,1596171296.0,4.61,4.61,4.61
140,Chanute,37.68,-95.46,24.0,83.0,90.0,3.1,US,1596171296.0,4.71,4.71,4.71
141,Winnipeg,49.88,-97.15,21.11,68.0,5.0,2.1,CA,1596170865.0,,,
142,Lüshunkou,38.8,121.27,29.0,70.0,40.0,5.0,CN,1596171296.0,,,
143,Morgantown,39.63,-79.96,21.0,94.0,90.0,1.2,US,1596171070.0,3.48,3.48,3.48
144,Pitiquito,30.7,-112.08,32.78,52.0,0.0,1.34,MX,1596171180.0,,,
145,San Fernando,15.03,120.69,31.0,83.0,90.0,3.1,PH,1596170728.0,,,
146,Prattville,32.46,-86.46,26.0,100.0,1.0,2.46,US,1596171297.0,4.53,4.53,4.53
147,Douglas,41.3,-96.17,23.0,64.0,1.0,1.5,US,1596171297.0,4.5,4.5,4.5
148,Hereford,52.06,-2.71,14.44,90.0,0.0,1.09,GB,1596171297.0,,,
149,Oneonta,42.45,-75.06,17.78,82.0,100.0,0.95,US,1596171297.0,3.44,3.44,3.44
150,Great Falls,47.5,-111.3,27.0,41.0,1.0,3.1,US,1596171297.0,4.91,4.91,4.91
151,Eureka,40.8,-124.16,14.44,100.0,2.0,1.29,US,1596171297.0,3.85,3.85,3.85
152,Chapais,49.78,-74.85,16.0,93.0,1.0,1.5,CA,1596171298.0,,,
153,Cabañas,22.98,-82.92,27.0,100.0,20.0,4.1,CU,1596171298.0,,,
154,Fernley,39.61,-119.25,29.44,15.0,0.0,1.79,US,1596171298.0,7.11,7.11,7.11
155,Navolato,24.77,-107.69,27.78,83.0,99.0,1.44,MX,1596171298.0,,,
156,Mt. Pleasant,32.79,-79.86,28.0,88.0,75.0,3.1,US,1596171298.0,4.87,4.87,4.87
157,North Bend,43.41,-124.22,16.0,93.0,90.0,0.28,US,1596171298.0,3.77,3.77,3.77
158,Fairfield,41.27,-73.32,23.89,88.0,1.0,1.12,US,1596171299.0,3.9,3.9,3.9
159,Coos Bay,43.37,-124.22,16.0,93.0,90.0,0.31,US,1596171299.0,3.85,3.85,3.85
160,Fairhope,30.52,-87.9,30.0,83.0,1.0,5.07,US,1596171299.0,4.59,4.59,4.59
161,Sebastian,35.17,-94.27,23.0,88.0,40.0,2.1,US,1596171299.0,4.65,4.65,4.65
162,Point Pleasant,40.08,-74.07,27.22,100.0,1.0,2.6,US,1596171299.0,3.96,3.96,3.96
163,Cheney,47.49,-117.58,31.0,22.0,20.0,1.5,US,1596170743.0,4.76,4.76,4.76
164,Forest Grove,45.52,-123.11,28.0,39.0,1.0,4.1,US,1596171299.0,3.54,3.54,3.54
165,Aberdeen,57.14,-2.1,13.0,93.0,99.0,2.6,GB,1596171071.0,,,
166,Elizabeth City,36.29,-76.25,28.0,88.0,1.0,3.6,US,1596171086.0,4.91,4.91,4.91
167,Guelph,43.55,-80.25,17.78,88.0,1.0,2.6,CA,1596171300.0,,,
168,Williamsburg,37.27,-76.71,29.0,74.0,1.0,3.05,US,1596171300.0,4.43,4.43,4.43
169,Brigantine,39.41,-74.36,25.56,96.0,100.0,4.47,US,1596171300.0,4.17,4.17,4.17
170,Mason City,43.15,-93.2,18.33,82.0,1.0,2.6,US,1596171135.0,4.01,4.01,4.01
171,El Reno,35.53,-97.95,25.0,78.0,4.0,5.7,US,1596170741.0,5.31,5.31,5.31
172,Normandin,48.83,-72.53,16.0,93.0,20.0,3.1,CA,1596171301.0,,,
173,Vernon,50.26,-119.27,24.44,64.0,1.0,2.1,CA,1596171301.0,,,
174,Price,39.6,-110.81,27.0,10.0,1.0,5.1,US,1596171301.0,6.46,6.46,6.46
175,Key West,24.56,-81.78,31.0,70.0,1.0,3.1,US,1596171301.0,5.11,5.11,5.11
176,Payson,40.04,-111.73,27.0,32.0,1.0,2.6,US,1596171301.0,5.93,5.93,5.93
177,Carlsbad,33.16,-117.35,20.56,93.0,1.0,2.1,US,1596171295.0,5.06,5.06,5.06
178,Virginia Beach,36.85,-75.98,29.0,74.0,75.0,3.1,US,1596171301.0,4.16,4.16,4.16
179,Hope,33.67,-93.59,30.0,67.0,0.0,0.45,US,1596171302.0,4.46,4.46,4.46
180,Hornepayne,49.21,-84.77,11.05,94.0,1.0,0.21,CA,1596171302.0,,,
181,Houma,29.6,-90.72,26.67,94.0,1.0,2.79,US,1596171302.0,4.4,4.4,4.4
182,Bucyrus,40.81,-82.98,21.11,77.0,90.0,3.1,US,1596171302.0,3.45,3.45,3.45
183,Garden City,42.33,-83.33,22.22,64.0,75.0,4.1,US,1596171282.0,3.61,3.61,3.61
184,Somerset,40.57,-74.55,26.67,88.0,90.0,3.1,US,1596171302.0,3.87,3.87,3.87
185,Gloucester,51.87,-2.24,17.22,72.0,0.0,2.13,GB,1596170739.0,,,
186,Sucilá,21.15,-88.32,24.87,96.0,97.0,2.48,MX,1596171303.0,,,
187,Isla Mujeres,21.23,-86.73,28.33,100.0,40.0,5.0,MX,1596171303.0,,,
188,Taft,31.75,54.21,26.79,33.0,2.0,4.88,IR,1596171303.0,,,
189,Weiser,44.25,-116.97,29.0,39.0,1.0,1.5,US,1596171303.0,5.65,5.65,5.65
