,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,Fortuna,40.6,-124.16,21.11,69.0,12.0,1.34,US,1596240277.0
1,Elizabeth City,36.29,-76.25,32,70.0,40.0,3.1,US,1596240459.0
2,Guerrero Negro,27.98,-114.06,29.38,47.0,0.0,6.03,MX,1596240459.0
3,Sault Ste. Marie,46.52,-84.33,25,53.0,1.0,3.1,CA,1596240459.0
4,Grand Forks,47.93,-97.03,27,54.0,75.0,4.1,US,1596240240.0
5,Escanaba,45.75,-87.06,24.44,76.0,32.0,0.89,US,1596240459.0
6,Jupiter,26.93,-80.09,30,70.0,1.0,5.1,US,1596240459.0
7,Hurricane,37.18,-113.29,42.22,9.0,12.0,3.58,US,1596240288.0
8,Chalmette,29.94,-89.96,32.22,52.0,1.0,5.7,US,1596240460.0
9,Hays,30.05,-98.03,31,43.0,1.0,4.1,US,1596240460.0
10,Jonesboro,35.84,-90.7,28.89,62.0,14.0,8.94,US,1596240396.0
11,Hermiston,45.84,-119.29,41,12.0,1.0,8.2,US,1596240460.0
12,Saint George,37.1,-113.58,43.33,8.0,1.0,7.2,US,1596240320.0
13,Clarksburg,39.28,-80.34,27,74.0,75.0,3.1,US,1596240329.0
14,Cockburn Town,21.46,-71.14,28.21,83.0,100.0,12.22,TC,1596240460.0
15,Nantucket,41.28,-70.1,22,88.0,90.0,3.1,US,1596240461.0
16,Las Cruces,32.31,-106.78,36.67,20.0,1.0,2.6,US,1596240325.0
17,Barraute,48.43,-77.63,25,53.0,20.0,2.6,CA,1596240262.0
18,Cañon City,38.44,-105.24,28,37.0,40.0,4.6,US,1596240461.0
19,Lompoc,34.64,-120.46,20.56,68.0,5.0,5.1,US,1596240248.0
20,Bagotville,-28.98,153.42,15,87.0,90.0,3.6,AU,1596240461.0
21,Brigantine,39.41,-74.36,25,83.0,90.0,2.1,US,1596240461.0
22,Estelle,29.85,-90.11,32.22,66.0,20.0,3.1,US,1596240462.0
23,Morro Bay,35.37,-120.85,33.33,62.0,15.0,3.13,US,1596240462.0
24,Corvallis,44.56,-123.26,28.89,47.0,1.0,8.2,US,1596240286.0
25,Pacific Grove,36.62,-121.92,23.33,53.0,1.0,3.1,US,1596240420.0
26,Bartlesville,36.75,-95.98,27.22,65.0,1.0,3.6,US,1596240462.0
27,Havelock,34.88,-76.9,29.44,83.0,55.0,3.58,US,1596240462.0
28,Winslow,35.02,-110.7,39,7.0,1.0,2.6,US,1596240462.0
29,Pascagoula,30.37,-88.56,31,70.0,1.0,2.1,US,1596240463.0
30,Coburg,50.27,10.97,18.89,51.0,0.0,0.45,DE,1596240026.0
31,Corinth,37.94,22.96,28.33,41.0,0.0,0.45,GR,1596240309.0
32,Miles City,46.41,-105.84,30,30.0,1.0,8.2,US,1596240463.0
33,Rincon,32.3,-81.24,34,56.0,20.0,4.6,US,1596240460.0
34,Southampton,50.9,-1.4,18.89,72.0,97.0,1.34,GB,1596240463.0
35,Rock Springs,41.59,-109.2,32,11.0,1.0,1.5,US,1596240463.0
36,Port Hardy,50.7,-127.42,22,60.0,40.0,3.6,CA,1596240095.0
37,Evanston,42.04,-87.69,24,57.0,75.0,6.7,US,1596240464.0
38,Hobe Sound,27.06,-80.14,31,66.0,20.0,4.1,US,1596240212.0
39,Ledyard Center,41.44,-72.01,25,83.0,1.0,2.1,US,1596240464.0
40,Eustis,28.85,-81.69,30,74.0,40.0,4.1,US,1596240305.0
41,Chanute,37.68,-95.46,27,54.0,1.0,4.6,US,1596240271.0
42,Hope,33.67,-93.59,29.44,63.0,67.0,1.34,US,1596240090.0
43,Fort Morgan,40.25,-103.8,32,14.0,1.0,8.2,US,1596240465.0
44,Warrington,53.39,-2.58,17.22,77.0,96.0,3.6,GB,1596240465.0
45,Stuttgart,48.78,9.18,21,60.0,0.0,1.0,DE,1596240248.0
46,,,,,,,,,
47,Timmins,48.47,-81.33,24,57.0,20.0,1.5,CA,1596239621.0
48,Alma,48.55,-71.65,24,60.0,75.0,1.0,CA,1596240377.0
49,Grandview,38.89,-94.53,24.44,57.0,1.0,3.6,US,1596240395.0
50,Fallon,39.47,-118.78,37.22,7.0,1.0,2.1,US,1596240168.0
51,Houma,29.6,-90.72,31.11,62.0,5.0,3.6,US,1596240379.0
52,Price,39.6,-110.81,38,8.0,1.0,4.6,US,1596240285.0
53,Billings Metropolitan Area,45.78,-108.5,33.33,22.0,20.0,9.3,US,1596240466.0
54,Worland,44.02,-107.96,35,13.0,1.0,3.1,US,1596240466.0
55,Marsh Harbour,26.54,-77.06,28.64,70.0,19.0,11.44,BS,1596240314.0
56,Union City,37.6,-122.02,26.11,60.0,1.0,5.7,US,1596240241.0
57,Alamosa,37.47,-105.87,29,12.0,20.0,4.6,US,1596240466.0
58,Naples,40.83,14.25,26,83.0,0.0,1.5,IT,1596240467.0
59,Bow Island,49.87,-111.37,32,33.0,40.0,5.1,CA,1596240467.0
60,Minot,48.23,-101.3,26.11,57.0,1.0,5.1,US,1596240181.0
61,Santa Isabel,-23.32,-46.22,17,87.0,90.0,3.1,BR,1596240467.0
62,Payson,40.04,-111.73,39.44,8.0,1.0,4.89,US,1596240467.0
63,West Fargo,46.88,-96.9,28,61.0,20.0,3.6,US,1596240467.0
64,Alexander City,32.94,-85.95,28.33,74.0,75.0,6.2,US,1596240344.0
65,Chapleau,47.84,-83.4,25,47.0,20.0,0.94,CA,1596240468.0
66,Topeka,39.05,-95.68,26.11,57.0,75.0,2.6,US,1596240468.0
67,Bluefield,37.27,-81.22,23,83.0,75.0,1.5,US,1596240371.0
68,Lakeway,30.36,-97.98,24,88.0,1.0,1.3,US,1596240468.0
69,Mt. Pleasant,32.79,-79.86,30,79.0,1.0,6.7,US,1596240423.0
70,Valley,45.13,-116.13,34,15.0,1.0,3.32,US,1596240468.0
71,Ardmore,34.17,-97.14,30,37.0,1.0,3.6,US,1596240468.0
72,Oneonta,42.45,-75.06,24.44,70.0,32.0,1.83,US,1596240469.0
73,Medford,42.33,-122.88,35.56,17.0,1.0,6.2,US,1596240469.0
74,Little Current,45.98,-81.92,26,50.0,1.0,2.1,CA,1596240469.0
75,Portales,34.19,-103.33,30.56,35.0,1.0,4.6,US,1596240469.0
76,Vidalia,32.22,-82.41,27,65.0,1.0,3.56,US,1596240361.0
77,Cumberland,35.05,-78.87,33,59.0,20.0,5.1,US,1596240469.0
78,Guadalupe y Calvo,26.1,-106.97,19.39,81.0,96.0,0.79,MX,1596240469.0
79,Old Orchard Beach,43.52,-70.38,23.89,76.0,8.0,0.45,US,1596240380.0
80,Winnemucca,40.97,-117.74,39,4.0,20.0,5.7,US,1596240330.0
81,West Plains,36.73,-91.85,22,94.0,90.0,4.6,US,1596240470.0
82,City of Saint Peters,38.8,-90.63,20,82.0,90.0,4.6,US,1596240470.0
83,,,,,,,,,
84,Batavia,41.85,-88.31,24.44,53.0,1.0,5.1,US,1596240181.0
85,Clearwater,27.97,-82.8,31.67,66.0,40.0,4.6,US,1596240470.0
86,Bon Air,37.52,-77.56,26,100.0,75.0,2.1,US,1596240340.0
87,San Luis Obispo,35.28,-120.66,24,50.0,1.0,7.2,US,1596240471.0
88,Ashland,40.82,-82.27,24.44,69.0,20.0,4.1,US,1596240471.0
89,Kelowna,49.88,-119.49,35.56,29.0,1.0,1.78,CA,1596239860.0
90,Macamic,48.75,-79.0,25,57.0,40.0,3.1,CA,1596240471.0
91,Stephenville,32.22,-98.2,32.22,33.0,1.0,3.1,US,1596240471.0
92,Ciudad General Terán,25.27,-99.68,34.52,40.0,4.0,3.67,MX,1596240471.0
93,Lively,46.43,-81.15,24.44,53.0,75.0,2.1,CA,1596240472.0
94,Santa Catarina de Tepehuanes,25.35,-105.73,25.28,43.0,37.0,5.96,MX,1596240472.0
95,Ignacio Zaragoza,28.38,-107.22,27.78,35.0,0.0,3.13,MX,1596240472.0
96,Progreso,21.28,-89.67,30,70.0,75.0,3.1,MX,1596240186.0
97,Brownwood,31.71,-98.99,33,31.0,1.0,3.1,US,1596240445.0
98,Ojinaga,29.57,-104.42,38,17.0,1.0,6.2,MX,1596240472.0
99,Sunbury,-37.58,144.73,11.11,76.0,75.0,11.3,AU,1596240330.0
100,Lenoir,35.23,-77.65,34,56.0,40.0,4.6,US,1596240473.0
101,Panama City,8.99,-79.52,29,74.0,75.0,3.1,PA,1596240473.0
102,Rathdrum,47.81,-116.89,40.56,21.0,1.0,3.6,US,1596240473.0
103,Tallahassee,30.44,-84.28,29.44,94.0,75.0,2.6,US,1596240379.0
104,Brookfield,43.06,-88.11,23.33,46.0,5.0,2.6,US,1596240422.0
105,Owatonna,44.08,-93.23,26.11,53.0,1.0,1.5,US,1596240473.0
106,Port Townsend,48.12,-122.76,21.67,64.0,1.0,4.6,US,1596240473.0
107,Garden City,42.33,-83.33,29,50.0,75.0,3.1,US,1596240474.0
108,Burlington,39.88,-74.64,27,74.0,1.0,2.1,US,1596239927.0
109,Thessalon,46.25,-83.57,24,53.0,1.0,1.63,CA,1596240474.0
110,Lexington,37.99,-84.48,26,74.0,75.0,2.6,US,1596240417.0
111,Fort Frances,48.6,-93.4,28.89,42.0,1.0,1.78,CA,1596240474.0
112,Sedona,34.87,-111.76,41.67,9.0,1.0,4.1,US,1596240474.0
113,Brainerd,46.36,-94.2,28,42.0,1.0,2.1,US,1596240474.0
114,Eureka,40.8,-124.16,20,38.0,23.0,0.89,US,1596240209.0
115,Marion,39.77,-86.16,26,57.0,90.0,4.6,US,1596240359.0
116,Sandpoint,48.28,-116.55,37.22,23.0,1.0,1.5,US,1596240475.0
117,Livingston,55.9,-3.52,17.22,93.0,40.0,4.6,GB,1596240475.0
118,Redlands,34.06,-117.18,42,12.0,20.0,4.1,US,1596240455.0
119,Alpena,45.06,-83.43,26,44.0,1.0,3.1,US,1596240475.0
120,Rochester,43.15,-77.62,26,41.0,20.0,2.6,US,1596240475.0
121,South Venice,27.05,-82.42,31.67,70.0,1.0,4.6,US,1596240476.0
122,Marquette,46.53,-87.63,21.67,60.0,0.0,1.7,US,1596240476.0
123,Wilmington,34.23,-77.94,32,62.0,1.0,7.2,US,1596240361.0
124,Huron,41.15,-82.55,24.44,68.0,80.0,3.33,US,1596240476.0
125,Oak Harbor,48.29,-122.64,20.56,68.0,75.0,6.7,US,1596240357.0
126,,,,,,,,,
127,Beaupré,47.04,-70.9,22.78,82.0,88.0,2.6,CA,1596240477.0
128,Cochrane,51.18,-114.47,27,51.0,40.0,7.2,CA,1596239843.0
129,San Quintín,30.48,-115.95,25.7,56.0,1.0,3.21,MX,1596240477.0
130,Helena,46.59,-112.04,34.44,17.0,1.0,3.1,US,1596240477.0
131,Grants,35.15,-107.85,34,8.0,1.0,3.6,US,1596240388.0
132,Nacozari,25.34,-108.26,28.89,81.0,74.0,1.34,MX,1596240477.0
133,Tifton,31.45,-83.51,26,94.0,1.0,1.5,US,1596240477.0
134,Truth or Consequences,33.13,-107.25,36,18.0,1.0,1.5,US,1596240478.0
135,Watertown,42.37,-71.18,26.11,57.0,20.0,3.1,US,1596240324.0
136,Rockledge,28.35,-80.73,30,74.0,1.0,5.7,US,1596240478.0
137,Kapuskasing,49.42,-82.43,26,44.0,40.0,1.97,CA,1596240304.0
138,Sioux Lookout,50.1,-91.92,28,39.0,40.0,3.6,CA,1596240478.0
139,Thunder Bay,48.4,-89.32,26,41.0,20.0,5.1,CA,1596240260.0
140,Grants Pass,42.44,-123.33,34,20.0,1.0,2.6,US,1596240478.0
141,Lake Charles,30.21,-93.2,31.67,70.0,75.0,5.7,US,1596240409.0
142,Van Buren,35.44,-94.35,26,65.0,90.0,7.7,US,1596240479.0
143,Hermitage,41.23,-80.45,27,51.0,40.0,4.1,US,1596240353.0
144,Medicine Hat,50.05,-110.67,32,33.0,40.0,5.1,CA,1596240479.0
145,Whitefish,48.41,-114.34,36,23.0,1.0,2.6,US,1596240325.0
146,Kingsland,30.8,-81.69,32.22,71.0,53.0,2.28,US,1596240479.0
147,Ucluelet,48.93,-125.55,16.67,87.0,75.0,5.1,CA,1596240479.0
148,Cullman,34.17,-86.84,23.33,94.0,40.0,4.1,US,1596240338.0
149,Pacifica,37.61,-122.49,22.22,59.0,20.0,8.2,US,1596240480.0
150,Paris,48.85,2.35,26.11,64.0,13.0,4.6,FR,1596239943.0
151,Show Low,34.25,-110.03,35,7.0,1.0,3.1,US,1596240451.0
152,Alfred,42.25,-77.79,26,68.0,1.0,2.6,US,1596240480.0
153,Caborca,30.58,-111.1,38.89,47.0,0.0,5.02,MX,1596240480.0
154,Hayden,47.77,-116.79,39.44,21.0,1.0,3.6,US,1596240303.0
155,Caldwell,43.66,-116.69,40.56,20.0,1.0,4.6,US,1596240481.0
156,Scottsbluff,41.87,-103.67,32,24.0,1.0,2.1,US,1596240481.0
157,Butler,39.45,-84.57,27,65.0,90.0,3.24,US,1596240445.0
158,Hobbs,32.7,-103.14,31.11,31.0,5.0,4.1,US,1596240481.0
159,Valley City,46.92,-98.0,26,78.0,90.0,5.1,US,1596240308.0
160,Gillette,44.29,-105.5,32,22.0,1.0,2.1,US,1596240481.0
161,Bloomfield,40.81,-74.19,29,51.0,1.0,2.29,US,1596240250.0
162,Douglas,41.3,-96.17,26.67,47.0,1.0,3.6,US,1596240482.0
163,Richmond Hill,43.87,-79.44,27.22,54.0,40.0,0.45,CA,1596240453.0
164,Camargo,27.67,-105.17,32.53,30.0,94.0,3.44,MX,1596240482.0
165,Newport,51.59,-3.0,17.78,91.0,83.0,0.45,GB,1596240409.0
166,Dillon,34.42,-79.37,31.11,70.0,1.0,2.1,US,1596240482.0
167,Pampa,35.54,-100.96,31,20.0,1.0,7.7,US,1596240449.0
168,Eugene,44.05,-123.09,31,27.0,40.0,6.7,US,1596240483.0
