,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,Ridgecrest,35.62,-117.67,33.33,15.0,1.0,1.5,US,1596302333.0
1,San Quintín,30.48,-115.95,25.76,57.0,0.0,4.01,MX,1596302333.0
2,Huntsville,34.73,-86.59,27,74.0,90.0,5.1,US,1596302084.0
3,Troy,42.61,-83.15,28.33,54.0,75.0,4.1,US,1596302334.0
4,Sunland Park,31.8,-106.58,31.67,33.0,1.0,3.61,US,1596302334.0
5,North Bend,43.41,-124.22,21.67,82.0,40.0,2.6,US,1596302224.0
6,,,,,,,,,
7,Raymond,43.9,-70.47,30,57.0,0.0,0.45,US,1596302334.0
8,Santa Catarina de Tepehuanes,25.35,-105.73,24.78,45.0,20.0,3.98,MX,1596302334.0
9,Richmond Hill,43.87,-79.44,29.44,43.0,86.0,2.24,CA,1596302334.0
10,Indiana,40.0,-86.25,22.78,94.0,90.0,4.1,US,1596302335.0
11,Moorhead,46.87,-96.77,23.33,69.0,20.0,8.7,US,1596302335.0
12,Fortuna,40.6,-124.16,16.67,87.0,14.0,0.45,US,1596302335.0
13,Washington,47.5,-120.5,28.89,27.0,91.0,2.68,US,1596302163.0
14,Las Cruces,32.31,-106.78,31.11,33.0,1.0,2.1,US,1596302335.0
15,Dumas,35.87,-101.97,30,47.0,1.0,4.6,US,1596302335.0
16,Jamestown,42.1,-79.24,26.11,73.0,75.0,3.1,US,1596302336.0
17,San Felipe,10.34,-68.74,31.43,52.0,11.0,4.4,VE,1596302336.0
18,Dubuque,42.48,-90.87,27,57.0,40.0,3.1,US,1596302109.0
19,Moctezuma,29.8,-109.67,30.78,60.0,16.0,1.29,MX,1596302336.0
20,Wilkes-Barre,41.25,-75.88,30,39.0,1.0,2.1,US,1596302116.0
21,Lewiston,44.1,-70.21,28.89,57.0,40.0,2.1,US,1596302118.0
22,Assiniboia,49.63,-105.98,22.02,44.0,0.0,3.38,CA,1596302336.0
23,Pahrump,36.21,-115.98,37.22,6.0,0.0,2.24,US,1596302329.0
24,Manhattan,40.78,-73.97,31.67,40.0,75.0,2.1,US,1596302087.0
25,Marsh Harbour,26.54,-77.06,28.9,77.0,100.0,14.34,BS,1596302337.0
26,Taft,31.75,54.21,34,23.0,39.0,1.0,IR,1596302337.0
27,Newport,51.59,-3.0,19.44,67.0,56.0,0.45,GB,1596302309.0
28,Hamburg,53.55,10.0,27.78,54.0,20.0,4.1,DE,1596302338.0
29,Columbus,39.96,-83.0,27.78,78.0,90.0,2.1,US,1596302072.0
30,Durango,24.83,-104.83,23.28,49.0,18.0,3.79,MX,1596302181.0
31,Garden City,42.33,-83.33,27,73.0,90.0,2.1,US,1596302329.0
32,Brigantine,39.41,-74.36,30,58.0,20.0,3.1,US,1596302130.0
33,Middletown,39.52,-84.4,27.78,78.0,90.0,1.5,US,1596302120.0
34,Lompoc,34.64,-120.46,17,82.0,0.0,3.6,US,1596302339.0
35,Cockburn Town,21.46,-71.14,29,74.0,75.0,7.7,TC,1596302252.0
36,Powell,40.16,-83.08,27.78,78.0,75.0,3.1,US,1596302322.0
37,,,,,,,,,
38,Red Bluff,40.18,-122.24,33.89,32.0,1.0,1.5,US,1596302253.0
39,Fairfield,41.27,-73.32,29.44,45.0,1.0,3.1,US,1596302340.0
40,Warrington,53.39,-2.58,18.33,59.0,20.0,4.1,GB,1596302340.0
41,Sevierville,35.87,-83.56,33,46.0,40.0,4.6,US,1596302340.0
42,Kapuskasing,49.42,-82.43,26,50.0,75.0,2.1,CA,1596302341.0
43,Cedar City,37.68,-113.06,34,10.0,1.0,4.1,US,1596302074.0
44,Rapid Valley,44.06,-103.15,25,57.0,1.0,3.1,US,1596302067.0
45,Senneterre,48.38,-77.23,25,53.0,40.0,2.6,CA,1596302341.0
46,Kirksville,40.19,-92.58,26.11,61.0,1.0,4.1,US,1596302342.0
47,Hamilton,39.18,-84.53,28.89,78.0,90.0,4.6,US,1596302104.0
48,Kingston,18.0,-76.79,32,70.0,20.0,6.2,JM,1596302265.0
49,Guerrero Negro,27.98,-114.06,29.14,48.0,41.0,0.61,MX,1596302342.0
50,Chapleau,47.84,-83.4,23,60.0,75.0,2.1,CA,1596302343.0
51,Dryden,49.78,-92.75,20,77.0,75.0,3.1,CA,1596302343.0
52,Hearst,49.68,-83.67,26.91,38.0,32.0,2.38,CA,1596302343.0
53,Norfolk,42.17,-71.25,31.67,43.0,20.0,3.1,US,1596302343.0
54,Valdosta,30.83,-83.28,31.11,58.0,40.0,2.41,US,1596302220.0
55,Atlantic Beach,30.33,-81.4,34.44,70.0,20.0,5.1,US,1596302343.0
56,Rosarito,32.33,-117.03,32.78,64.0,5.0,3.6,MX,1596302344.0
57,Elk City,35.41,-99.4,28,42.0,1.0,2.6,US,1596302344.0
58,Pierre,44.37,-100.35,25,64.0,75.0,6.7,US,1596302344.0
59,Saint-Michel-des-Saints,46.68,-73.92,28.33,6.0,3.0,0.58,CA,1596302344.0
60,Xenia,39.68,-83.93,27.78,65.0,90.0,3.6,US,1596302344.0
61,King City,36.21,-121.13,30,8.0,0.0,1.79,US,1596302223.0
62,Mineral Wells,32.81,-98.11,30.56,45.0,1.0,3.6,US,1596302056.0
63,Englewood,39.65,-104.99,28.89,26.0,20.0,2.1,US,1596302155.0
64,Grand Forks,47.93,-97.03,23,53.0,40.0,8.7,US,1596302198.0
65,Twin Falls,42.56,-114.46,28,26.0,1.0,3.6,US,1596302102.0
66,Baker City,44.77,-117.83,25,29.0,1.0,2.6,US,1596302345.0
67,Coos Bay,43.37,-124.22,21.67,82.0,40.0,2.6,US,1596302345.0
68,Burkburnett,34.1,-98.57,30,54.0,1.0,1.5,US,1596302345.0
69,Half Moon Bay,37.46,-122.43,19.44,77.0,40.0,3.1,US,1596302346.0
70,Bend,44.06,-121.32,24,31.0,1.0,2.1,US,1596302104.0
71,Dickinson,29.46,-95.05,26,83.0,20.0,2.6,US,1596302346.0
